transaction_id,date,product,region,quantity,unit_price,total_amount
1082,2026-03-23,Headphones,West,4,258.34,1033.36
1083,2026-03-24,Tablet,South,6,40.85,245.1
1084,2026-03-25,Laptop,South,4,554.87,2219.48
1085,2026-03-26,Phone,East,4,768.76,3075.04
1086,2026-03-27,Monitor,North,1,425.09,425.09
1087,2026-03-28,Headphones,North,1,516.05,516.05
1088,2026-03-29,Phone,East,3,1151.87,3455.61
1089,2026-03-30,Tablet,East,7,907.32,6351.24
1090,2026-03-31,Headphones,North,7,658.21,4607.47
1091,2026-04-01,Headphones,East,5,355.76,1778.8
1092,2026-04-02,Keyboard,South,5,1078.46,5392.3
1093,2026-04-03,Phone,East,3,297.41,892.23
1094,2026-04-04,Headphones,West,2,403.9,807.8
1095,2026-04-05,Tablet,North,1,1092.7,1092.7
1096,2026-04-06,Monitor,West,3,644.86,1934.58
1097,2026-04-07,Laptop,South,3,895.94,2687.82
1098,2026-04-08,Laptop,West,2,717.08,1434.16
1099,2026-04-09,Tablet,South,2,791.06,1582.12
1100,2026-04-10,Headphones,South,1,373.27,373.27
1101,2026-04-11,Keyboard,West,5,304.82,1524.1
1102,2026-04-12,Tablet,East,7,400.54,2803.78
1103,2026-04-13,Monitor,North,5,203.42,1017.1
1104,2026-04-14,Tablet,East,4,1051.69,4206.76
1105,2026-04-15,Laptop,West,3,354.23,1062.69
1106,2026-04-16,Laptop,South,3,682.56,2047.68
1107,2026-04-17,Monitor,West,1,954.53,954.53
1108,2026-04-18,Laptop,East,5,944.91,4724.55
1109,2026-04-19,Monitor,South,4,537.3,2149.2
1110,2026-04-20,Phone,North,1,581.98,581.98
1111,2026-04-21,Laptop,East,3,1193.75,3581.25
1112,2026-04-22,Phone,North,2,816.03,1632.06
1113,2026-04-23,Headphones,West,2,981.27,1962.54
1114,2026-04-24,Tablet,East,5,1085.01,5425.05
1115,2026-04-25,Keyboard,South,4,949.36,3797.44
1116,2026-04-26,Headphones,North,5,238.51,1192.55
1117,2026-04-27,Tablet,East,5,683.36,3416.8
1118,2026-04-28,Headphones,North,7,140.24,981.68
1119,2026-04-29,Monitor,South,6,790.45,4742.7
1120,2026-04-30,Tablet,West,5,1147.31,5736.55
